name,road_link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost
,1,1000915,2000931,,1,16,1,1,1,1,16
,2,2000931,2000933,,1,2,1,1,1,1,2
,3,2000933,3000943,,1,10,1,1,1,1,10
,4,3000943,3000945,,1,2,1,1,1,1,2
,5,3000945,4001000,,1,15,1,1,1,1,15
,6,1000935,2000951,,1,16,1,1,1,1,16
,7,2000951,2000953,,1,2,1,1,1,1,2
,8,2000953,3001004,,1,11,1,1,1,1,11
,9,3001004,3001006,,1,2,1,1,1,1,2
,10,3001006,4001022,,1,16,1,1,1,1,16
,11,1000907,2000923,,1,16,1,1,1,1,16
,12,2000923,3000933,,1,10,1,1,1,1,10
,13,3000933,4000946,,1,13,1,1,1,1,13
,14,1000927,2000943,,1,16,1,1,1,1,16
,15,2000943,2000945,,1,2,1,1,1,1,2
,16,2000945,3000956,,1,11,1,1,1,1,11
,17,3000956,3000958,,1,2,1,1,1,1,2
,18,3000958,4001014,,1,16,1,1,1,1,16
